name,gender,origins
Achsah,f,Biblical
Achta,f,Central African
Acke,m,Swedish
Aco,m,"Macedonian, Serbian"
Actaea,f,Greek Mythology (Latinized)
Actaeon,m,Greek Mythology (Latinized)
Actor,m,Greek Mythology (Latinized)
Ad,m,Dutch
Ada 1,f,"English, Italian, Spanish, German, Dutch, Norwegian, Polish, Finnish, Germanic"
Ada 2,f,Turkish
Ada 3,f,"Hebrew, Biblical Hebrew"
Adad,m,Semitic Mythology
Adad-Nirari,m,Ancient Assyrian
Adaeze,f,Igbo
Adah,f,Biblical
Adaiah,m,Biblical
Adair,m,English (Rare)
Adalberht,m,Germanic
Adalbern,m,Germanic
Adalbert,m,"Germanic, German"
Adalberto,m,"Italian, Spanish, Portuguese"
Adalet,f,Turkish
Adalfarus,m,Germanic (Latinized)
Adalfuns,m,Germanic
Adalgard,f,Germanic
Adalgund,f,Germanic
Adalhaid,f,Germanic
Adalhard,m,Germanic
Adalheidis,f,Germanic (Latinized)
Adalia,m,Biblical
Adalin,m,Germanic
Adalindis,f,Germanic (Latinized)
Adaline,f,English
Adallinda,f,Germanic
Adaltrud,f,Germanic
Adalwin,m,Germanic
Adalwolf,m,Germanic
'Adalya,m,Biblical Hebrew
Adalyn,f,English (Modern)
Adalynn,f,English (Modern)
Ádám,m,Hungarian
Adəm,m,Azerbaijani
Adam,m,"English, French, German, Polish, Dutch, Swedish, Norwegian, Danish, Czech, Slovak, Russian, Ukrainian, Croatian, Serbian, Macedonian, Romanian, Catalan, Greek, Hebrew, Arabic, Georgian, Malay, Indonesian, Dhivehi, Biblical, Biblical Latin, Biblical Greek, Biblical Hebrew, Quranic"
Adamantia,f,Greek
Adamantios,m,"Ancient Greek, Greek"
Adamina,f,English (Rare)
Adamo,m,Italian
Adamou,m,Western African
Ādams,m,Latvian
Adamu,m,"Hausa, Swahili"
Adamŭ,m,Old Church Slavic
Adán,m,Spanish
Adanna,f,Igbo
Adannaya,f,Igbo
Adão,m,Portuguese
Adara,f,Hebrew
Adas,m,Lithuanian
Adawosgi,m,Cherokee
'Adaya,m,Biblical Hebrew
Adde,m,Frisian
Addie,f,English
Addilyn,f,English (Modern)
Addison,f,English
Addisyn,f,English (Modern)
Addolorata,f,Italian
Addy 1,f,English
Addy 2,m,Medieval English
Addyson,f,English (Modern)
Ade 1,m,Yoruba
Ade 2,m,Frisian
Adebayo,m,Yoruba
Adebisi,f,Yoruba
Adebola,m,Yoruba
Adebowale,m,Yoruba
Adedayo,m,Yoruba
Adeeb,m,Arabic
Adegoke,m,Yoruba
Adei,m,Basque
Adekunle,m,Yoruba
Adél,f,Hungarian
Adel,m,"Persian, Arabic"
Adéla,f,Czech
Adela,f,"English, Spanish, Romanian, Polish, Slovak, Germanic"
Adelaida,f,Spanish
Adélaïde,f,French
Adelaide,f,"English, Italian, Portuguese"
Adelais,f,Germanic (Latinized)
Adelajda,f,Polish
Adélard,m,French (Quebec)
Adelardo,m,"Spanish (Rare), Italian (Rare)"
Adelbert,m,"German, Dutch (Rare)"
Adèle,f,French
Adele,f,"German, English, Italian"
Adelė,f,Lithuanian
Adelgundis,f,Germanic (Latinized)
Adelheid,f,"German, Dutch (Rare)"
Adelia,f,"English, Spanish"
Adélie,f,French
Adelīna,f,Latvian
Adelina,f,"Italian, Portuguese, Spanish, Romanian, Bulgarian, Germanic (Latinized)"
Adelinde,f,German (Rare)
Adeline,f,"French, English"
Adelino,m,Portuguese
Adelita,f,Spanish (Latin American)
Adella,f,English
Adelle,f,English
Adelma,f,"Spanish (Latin American), Portuguese (Brazilian), Italian (Rare), Literature"
Adelmar,m,Germanic
Adelmo,m,"Italian, Portuguese (Brazilian), Spanish (Latin American)"
Adelyn,f,English (Modern)
Adelynn,f,English (Modern)
Adem,m,"Turkish, Bosnian, Albanian"
Ademar,m,Portuguese
Ademaro,m,Italian
Ademir,m,Portuguese (Brazilian)
Ademola,m,Yoruba
Aden,m,English (Modern)
Adena,f,Hebrew (Rare)
Adenike,f,Yoruba
Adeniyi,m,Yoruba
Adeodatus,m,Late Roman
Adeola,f,Yoruba
Aderonke,f,Yoruba
Aderyn,f,Welsh (Rare)
Adetokunbo,m,Yoruba
Adewale,m,Yoruba
Adeyemi,m,Yoruba
Adham,m,"Arabic, Uzbek"
Ádhamh,m,Irish
Adhara,f,Astronomy
Adhelm,m,Germanic
Adhiambo,f,Luo
Adi 1,f,Hebrew
Adi 2,m,"Indonesian, Javanese"
Adi 3,m,"German, Romanian"
Adian,m,Bosnian
Adib,m,Arabic
Ädıl,m,Kazakh
Adil,m,"Arabic, Turkish, Urdu, Uyghur, Kazakh"
Adila,f,Arabic
Adilə,f,Azerbaijani
Adile,f,"Turkish, Albanian"
Ädılet,m,Kazakh
Adilet,m,"Kyrgyz, Kazakh"
Adílson,m,Portuguese (Brazilian)
Adin,m,Bosnian
'Adina,m,Biblical Hebrew
Adina 1,m,"Biblical, Biblical Latin, Biblical Greek"
Adina 2,f,Romanian
Adina 3,f,Hebrew
Adino,m,"Biblical, Biblical Hebrew"
Adir,m,Hebrew
Adisa,m,Yoruba
Aditi,f,"Hinduism, Hindi, Marathi, Bengali, Kannada"
Aditya,m,"Hinduism, Hindi, Marathi, Malayalam, Kannada, Telugu, Tamil, Nepali, Indonesian"
Ädiya,f,Kazakh
Adjoa,f,Akan
Adlai,m,"Biblical, Biblical Hebrew"
Adler,m,English (Modern)
Admetos,m,Greek Mythology
Admetus,m,Greek Mythology (Latinized)
Admir,m,"Bosnian, Albanian"
Adna,f,Bosnian
Adnan,m,"Arabic, Turkish, Bosnian, Urdu, Bengali, Malay, Indonesian"
Adolf,m,"German, Dutch, Swedish, Norwegian, Danish, Czech, Hungarian, Polish, Germanic"
Adolfas,m,Lithuanian
Adolfito,m,Spanish (Rare)
Adolfo,m,"Italian, Spanish"
Ādolfs,m,Latvian
Adolph,m,English
Adolphe,m,French
Adolphine,f,French
Adolphus,m,Germanic (Latinized)
Adomas,m,Lithuanian
Adonai,m,Theology
Adonay,m,Spanish
Adone,m,Italian (Rare)
Adonijah,m,Biblical
Adoniram,m,"Biblical, Biblical Greek, Biblical Hebrew"
Adonis,m,Greek Mythology
'Adoniya,m,Biblical Hebrew
Adora,f,Spanish (Rare)
Adoración,f,Spanish
Adorinda,f,Esperanto
Adorján,m,Hungarian
Adrastea,f,Greek Mythology (Latinized)
Adrasteia,f,Greek Mythology
Adrastos,m,Greek Mythology
Adria,f,English
Adrià,m,Catalan
Adriaan,m,Dutch
Adrián,m,"Spanish, Hungarian, Slovak"
Adrian,m,"English, Romanian, Polish, German, Swedish, Norwegian, Danish, Russian"
Adriana,f,"Italian, Spanish, Portuguese, Romanian, Polish, Slovak, Czech, Bulgarian, English, Dutch"
Adrianna,f,"English, Polish"
Adrianne,f,English
Adriano,m,"Italian, Portuguese"
Adrians,m,Latvian
Adrianus,m,Dutch
Adriel,m,"Biblical, Biblical Hebrew, Portuguese (Brazilian), Spanish (Modern)"
Adriele,f,Portuguese (Brazilian)
Adrien,m,French
Adriene,f,Portuguese (Brazilian)
Adrienn,f,Hungarian
Adrienne,f,"French, English"
Adrijan,m,"Croatian, Macedonian"
Adrijana,f,"Slovene, Serbian, Croatian, Macedonian"
Adsila,f,Cherokee
Adur,m,Basque
Adva,f,Hebrew
Adwoa,f,Akan
Adzo,f,Ewe
Æbbe,f,Anglo-Saxon
Áed,m,"Old Irish, Irish Mythology"
Áedán,m,Old Irish
Áedh,m,Old Irish
Áednat,f,Old Irish
